,sampling rate,sampling width in bytes,nframes,nchannels
1338,44100,2,176400,2
1339,44100,2,176400,2
134,48000,2,192000,2
1341,44100,2,53772,2
1345,48000,2,86744,2
1346,48000,2,192000,2
1347,48000,2,192000,2
1349,44100,2,176400,2
135,48000,2,192000,2
1350,44100,2,23373,2
1351,48000,2,192000,2
1352,48000,2,192000,2
1353,48000,2,38400,1
1355,48000,2,192000,2
1356,48000,2,192000,2
1357,44100,2,176400,2
1358,48000,2,192000,2
136,44100,2,176400,2
1361,48000,2,192000,2
1363,48000,2,192000,2
1365,44100,2,176400,2
1366,44100,2,176400,2
1367,44100,2,176400,2
1368,44100,2,59535,2
137,48000,2,60283,2
1370,44100,2,176400,2
1371,48000,2,192000,2
1377,44100,2,176400,2
1378,48000,2,192000,2
138,44100,2,176400,2
1380,44100,2,176400,2
1381,48000,2,192000,1
1384,16000,2,64000,1
1385,48000,2,192000,2
1386,44100,2,176400,2
1388,48000,2,192000,2
139,44100,2,20286,2
1390,48000,2,192000,2
1393,48000,2,192000,2
1394,44100,2,176400,2
1396,44100,2,176400,2
1398,44100,2,176400,2
1399,44100,2,176400,2
140,44100,2,176400,2
1400,44100,2,51102,2
1404,48000,2,192000,2
1405,48000,2,192000,2
1409,44100,2,176400,2
1412,48000,2,192000,2
1414,48000,2,192000,2
1415,48000,2,192000,1
1417,44100,2,114130,2
1418,44100,2,94374,2
1419,48000,2,192000,2
142,48000,2,192000,2
1423,48000,2,192000,2
1425,44100,2,76734,1
1428,44100,2,176400,2
1431,48000,2,104081,2
1432,44100,2,176400,2
1435,44100,2,176400,2
1436,24000,2,96000,2
1437,48000,2,71520,2
1444,48000,2,192000,1
1446,48000,2,192000,2
1447,48000,2,106560,2
1448,44100,2,176400,2
1449,48000,2,192000,1
1450,44100,2,176400,2
1452,48000,2,192000,2
1454,44100,2,176400,2
1458,44100,2,176400,2
1459,44100,2,48069,2
146,44100,2,176400,2
1460,44100,2,176400,2
1461,44100,2,176400,2
1462,44100,2,176400,2
1467,44100,2,176400,2
1468,44100,2,30429,2
1469,44100,2,176400,2
1470,48000,2,192000,2
1471,44100,2,64386,2
1472,48000,2,192000,2
1473,44100,2,176400,2
1475,44100,2,176400,2
1477,44100,2,65065,2
1478,48000,2,192000,2
1479,48000,2,192000,2
148,48000,2,67950,2
1480,48000,2,192000,2
1481,48000,2,192000,2
1483,48000,2,192000,2
1485,48000,2,192000,2
1488,44100,2,2646,2
1489,44100,2,12789,2
149,48000,2,192000,2
1491,48000,2,87205,2
1492,48000,2,192000,2
1493,44100,2,176400,2
1496,48000,2,136217,2
1497,48000,2,192000,2
1498,44100,2,176400,2
15,44100,2,176400,2
1500,48000,2,192000,2
1501,48000,2,27825,2
1502,44100,2,18427,2
1503,44100,2,176400,1
1506,44100,2,176400,2
1508,44100,2,45864,2
1510,48000,2,192000,2
1511,48000,2,39840,2
1512,44100,2,176400,2
1515,96000,2,384000,2
1516,48000,2,4800,2
1517,48000,2,192000,2
1518,24000,2,96000,2
152,48000,2,192000,2
1520,44100,2,21609,2
1521,48000,2,142080,1
1523,44100,2,176400,2
1525,44100,2,26901,2
1527,44100,2,176400,2
1528,48000,2,192000,2
1529,48000,2,192000,2
153,44100,2,176400,2
1530,44100,2,176400,2
1531,44100,2,176400,2
1532,48000,2,192000,2
1534,48000,2,192000,2
1536,48000,2,192000,2
1537,48000,2,192000,2
1540,48000,2,192000,2
1542,48000,2,192000,2
1546,44100,2,176400,2
1547,44100,2,176400,2
1548,44100,2,176400,2
1549,48000,2,192000,2
1550,44100,2,176400,2
1551,44100,2,18522,2
1552,44100,2,176400,2
1554,48000,2,192000,2
1555,48000,2,192000,2
1556,44100,2,176400,2
1558,44100,2,176400,1
1560,44100,2,176400,2
1561,48000,2,192000,2
1562,44100,2,176400,2
1563,44100,2,176400,2
1564,44100,2,43995,2
1565,48000,2,192000,2
1567,48000,2,192000,2
1569,48000,2,192000,2
1570,48000,2,192000,2
1571,44100,2,176400,2
1573,48000,2,192000,2
1574,44100,2,176400,2
1578,48000,2,192000,2
1579,44100,2,176400,2
1581,48000,2,185153,2
1584,44100,2,176400,2
1586,48000,2,192000,2
1588,48000,2,16800,2
1589,44100,2,176400,1
159,48000,2,192000,2
1591,48000,2,192000,2
1593,44100,2,176400,2
1597,48000,2,192000,2
1598,44100,2,176400,2
1599,48000,2,192000,2
160,44100,2,176400,2
1601,48000,2,192000,2
1602,44100,2,176400,2
1603,44100,2,176400,2
1604,44100,2,176400,2
1605,48000,2,192000,2
1606,44100,2,176400,2
1607,48000,2,192000,2
1608,48000,2,192000,2
1612,48000,2,192000,2
1613,48000,2,192000,2
1614,48000,2,192000,2
1615,16000,2,64000,1
1616,48000,2,192000,2
1618,44100,2,176400,1
162,48000,2,192000,2
1621,44100,2,176400,2
1623,48000,2,192000,2
1626,44100,2,176400,2
1628,48000,2,192000,2
1629,44100,2,176400,2
163,44100,2,101324,1
1630,48000,2,192000,2
1632,48000,2,192000,2
1633,48000,2,192000,2
1634,44100,2,176400,2
1635,48000,2,192000,2
1636,44100,2,176400,2
1639,48000,2,192000,2
164,44100,2,176400,2
1640,48000,2,192000,2
1647,48000,2,192000,2
1648,48000,2,192000,2
1649,48000,2,55200,2
165,48000,2,192000,2
1651,44100,2,176400,2
1652,44100,2,176400,2
1653,44100,2,115101,2
1656,44100,2,67032,2
1660,44100,2,176400,1
1661,48000,2,192000,2
1663,44100,2,15435,1
1664,48000,2,192000,2
1666,48000,2,192000,2
1667,48000,2,84000,2
1669,48000,2,192000,2
167,48000,2,192000,2
1672,44100,2,176400,2
1673,48000,2,150588,2
1674,44100,2,176400,2
1675,48000,2,192000,2
1677,44100,2,109252,2
1678,48000,2,192000,2
1679,48000,2,152459,2
168,48000,2,105042,1
1680,44100,2,176400,2
1681,48000,2,192000,2
1686,48000,2,192000,2
1687,44100,2,176400,2
1688,44100,2,176400,2
1689,48000,2,192000,2
1690,48000,2,192000,2
1695,48000,2,192000,2
1697,48000,2,192000,2
1699,44100,2,176400,2
17,48000,2,192000,2
170,44100,2,176400,2
1701,48000,2,192000,2
1702,44100,2,176400,2
1703,48000,2,192000,2
1704,48000,2,192000,2
1705,48000,2,192000,2
1706,44100,2,176400,2
1708,48000,2,192000,2
1709,44100,2,136705,2
171,48000,2,192000,2
1711,48000,2,192000,2
1713,48000,2,88320,2
1714,48000,2,192000,2
1715,44100,2,176400,2
1716,48000,2,192000,2
1718,48000,2,192000,2
1719,44100,2,176400,2
172,44100,2,176400,2
1720,44100,2,83249,2
1722,96000,2,384000,2
1724,48000,2,192000,2
1725,44100,2,176400,2
1727,44100,2,125244,2
1728,48000,2,192000,2
1729,44100,2,176400,2
1730,44100,2,176400,2
1731,44100,2,176400,2
1734,44100,2,176400,2
1736,44100,2,176400,2
1737,48000,2,192000,2
1738,44100,2,176400,2
1739,44100,2,176400,2
174,44100,2,129640,2
1741,44100,2,176400,2
1744,48000,2,192000,2
1745,48000,2,192000,2
1746,48000,2,192000,2
1748,44100,2,176400,2
1749,44100,2,176400,2
175,44100,2,58653,2
1750,44100,2,176400,2
1751,44100,2,176400,2
1754,44100,2,176400,2
1755,48000,2,192000,1
176,44100,2,176400,2
1760,48000,2,192000,2
1761,24000,2,96000,2
1763,44100,2,176400,2
1765,44100,2,176400,1
1766,48000,2,192000,2
1767,44100,2,58653,2
1768,48000,2,18720,2
1769,44100,2,176400,2
1771,44100,2,73011,2
1773,44100,2,176400,2
1774,44100,2,67032,2
1776,48000,2,192000,2
1777,48000,2,27360,2
1779,48000,2,192000,2
178,44100,2,176400,2
1780,48000,2,192000,2
1782,44100,2,176400,2
1783,44100,2,176400,2
1786,48000,2,192000,2
1787,44100,2,176400,2
1789,44100,2,176400,2
179,44100,2,69678,1
1791,44100,2,176400,2
1792,44100,2,176400,2
1794,48000,2,53068,2
1795,44100,2,176400,2
1796,44100,2,176400,2
18,48000,2,192000,2
1800,48000,2,192000,2
1801,44100,2,176400,2
1802,44100,2,176400,2
1803,22050,1,88200,1
1805,44100,2,55018,1
1806,44100,2,27176,2
1807,48000,2,192000,2
1808,44100,2,176400,2
1809,44100,2,176400,2
1812,48000,2,60265,2
1813,44100,2,176400,2
1816,48000,2,192000,2
1817,44100,2,176400,2
1818,44100,2,176400,2
1819,44100,2,176400,2
182,48000,2,192000,2
1820,48000,2,192000,2
1822,48000,2,192000,2
1825,44100,2,176400,2
1826,44100,2,176400,2
1827,44100,2,176400,2
1828,44100,2,176400,2
1829,44100,2,176400,2
1830,44100,2,91287,2
1831,44100,2,176400,2
1832,48000,2,192000,2
1834,48000,2,192000,1
1836,48000,2,192000,1
1837,16000,1,64000,2
1839,44100,2,176400,2
184,48000,2,192000,2
1840,48000,2,28320,2
1841,44100,2,126567,2
1842,44100,2,176400,2
1843,48000,2,192000,1
1847,48000,2,192000,2
1848,48000,2,192000,2
1849,48000,2,192000,2
185,44100,2,176400,2
1850,48000,2,192000,2
1853,44100,2,155504,2
1854,22050,1,88200,1
1856,48000,2,192000,2
1858,48000,2,192000,2
186,48000,2,192000,2
1863,48000,2,192000,2
1864,48000,2,192000,2
1866,44100,2,176400,1
1867,44100,2,176400,2
1868,48000,2,192000,2
1869,44100,2,176400,2
187,44100,2,176400,2
1870,48000,2,192000,2
1871,48000,2,192000,2
1872,44100,2,176400,2
1873,44100,2,176400,2
1874,44100,2,176400,2
1876,48000,2,192000,2
1877,48000,2,192000,2
1879,44100,2,176400,1
188,44100,2,176400,2
1881,44100,2,176400,2
1883,44100,2,176400,2
1886,48000,2,192000,2
1889,44100,2,176400,2
189,48000,2,192000,2
1890,48000,2,192000,1
1891,44100,2,176400,2
1892,44100,2,176400,2
1893,44100,2,176400,2
1894,48000,2,64114,2
1895,48000,2,192000,2
1896,48000,2,192000,2
1897,48000,2,192000,2
1898,44100,2,97356,2
1899,44100,2,176400,2
19,48000,2,93973,2
1901,44100,2,176400,2
1904,44100,2,176400,2
1908,48000,2,192000,2
1910,48000,2,192000,2
1913,11025,1,44100,1
1914,96000,2,384000,2
1916,48000,2,192000,2
1917,44100,2,176400,1
1918,44100,2,176400,2
1919,48000,2,192000,2
192,44100,2,176400,2
1921,48000,2,192000,2
1922,48000,2,192000,2
1923,48000,2,62880,2
1924,48000,2,192000,1
1925,44100,2,32872,2
1927,44100,2,176400,2
1929,44100,2,176400,2
193,44100,2,176400,2
1932,48000,2,192000,2
1933,44100,2,176400,2
1935,48000,2,192000,1
1936,44100,2,176400,1
1937,48000,2,39192,2
1938,44100,2,176400,2
1940,44100,2,176400,2
1941,48000,2,192000,2
1943,48000,2,192000,2
1944,48000,2,192000,2
1945,48000,2,111127,2
1946,44100,2,176400,2
1947,48000,2,28800,1
1948,44100,2,176400,2
1949,48000,2,192000,2
1950,44100,2,176400,2
1952,44100,2,176400,2
1956,48000,2,192000,2
1957,44100,2,176400,2
1958,48000,2,192000,2
196,48000,2,81600,2
1960,44100,2,176400,2
1963,44100,2,176400,2
1966,44100,2,139611,2
1967,44100,2,176400,2
1968,44100,2,176400,2
197,44100,2,176400,2
1970,48000,2,192000,2
1971,44100,2,176400,2
1973,44100,2,65993,2
1974,44100,2,176400,2
1976,44100,2,176400,2
1977,48000,2,192000,2
1978,48000,2,192000,2
1980,44100,2,176400,2
1982,48000,2,192000,2
1986,44100,2,176400,2
1987,44100,2,176400,2
1988,44100,2,176400,2
1991,48000,2,192000,2
1992,44100,2,176400,2
1994,48000,2,192000,2
1996,44100,2,176400,2
1997,44100,2,176400,2
1999,48000,2,192000,1
2,44100,2,176400,2
20,44100,2,176400,2
200,48000,2,192000,2
2000,48000,2,63840,2
2001,96000,2,384000,2
2002,44100,2,176400,2
2004,48000,2,171360,2
2008,48000,2,192000,2
2009,48000,2,72000,2
2010,48000,2,192000,2
2013,48000,2,192000,2
2016,44100,2,176400,2
2017,44100,2,176400,2
2018,48000,2,192000,2
2019,44100,2,176400,2
202,44100,2,56448,2
2020,44100,2,176400,2
2022,48000,2,192000,2
2023,48000,2,192000,2
2025,48000,2,192000,2
2026,48000,2,192000,1
2028,48000,2,192000,2
2029,48000,2,192000,2
2031,48000,2,192000,2
2033,44100,2,85510,1
2036,44100,2,70894,2
2037,44100,2,176400,2
2038,44100,2,176400,2
2040,44100,2,176400,2
2042,48000,2,110400,2
2043,44100,2,176400,2
2045,96000,2,87090,2
2047,48000,2,58080,1
2048,44100,2,176400,2
2049,48000,2,192000,2
2050,96000,2,246332,2
2051,48000,2,192000,2
2054,44100,2,176400,2
2055,44100,2,176400,2
2056,44100,2,176400,2
2057,44100,2,176400,2
2063,44100,2,176400,2
2064,44100,2,176400,2
2066,48000,2,192000,2
2067,44100,2,176400,2
2070,44100,2,176400,2
2072,44100,2,176400,2
2073,48000,2,192000,2
2077,48000,2,66720,2
2078,44100,2,176400,2
208,44100,2,176400,2
2080,48000,2,21043,1
2081,48000,2,111260,2
2082,48000,2,192000,2
2083,44100,2,176400,2
2084,48000,2,192000,2
2087,44100,2,176400,2
2089,48000,2,34373,2
2090,44100,2,47628,2
2091,44100,2,176400,2
2094,44100,2,176400,2
2095,44100,2,176400,2
2096,16000,1,64000,2
2098,48000,2,192000,2
2099,44100,2,176400,2
2101,48000,2,192000,2
2102,44100,2,176400,2
2103,48000,2,192000,2
2104,44100,2,176400,2
2105,44100,2,52914,1
2106,48000,2,192000,2
2107,44100,2,176400,2
2108,48000,2,192000,1
211,44100,2,176400,2
2113,44100,2,176400,2
2116,44100,2,176400,2
2117,96000,2,384000,2
212,48000,2,192000,2
2121,48000,2,192000,2
2122,96000,2,112843,2
2123,48000,2,192000,2
2124,44100,2,176400,2
2125,48000,2,192000,2
2126,44100,2,103885,2
2127,48000,2,192000,2
2129,48000,2,192000,2
213,48000,2,192000,2
2130,48000,2,29280,2
2132,48000,2,192000,2
2133,44100,2,176400,2
2134,48000,2,192000,2
2135,44100,2,176400,2
2138,48000,2,192000,2
2139,48000,2,192000,2
214,44100,2,176400,2
2140,48000,2,192000,2
2141,44100,2,176400,2
2142,48000,2,192000,2
2144,44100,2,176400,1
2145,48000,2,192000,1
2148,48000,2,192000,2
2149,44100,2,176400,2
215,11025,2,30539,1
2150,48000,2,192000,2
2152,44100,2,176400,2
2154,44100,2,176400,2
2156,44100,2,176400,2
2157,48000,2,192000,2
216,44100,2,176400,2
2160,48000,2,192000,2
2162,48000,2,192000,2
2163,44100,2,176400,2
2168,48000,2,192000,2
2169,48000,2,192000,2
217,48000,2,192000,2
2170,48000,2,192000,2
2171,44100,2,176400,2
2173,44100,2,176400,2
2174,44100,2,176400,2
2179,44100,2,36603,2
218,44100,2,52914,1
2180,48000,2,24910,2
2182,48000,2,117120,2
2184,48000,2,192000,1
2185,44100,2,176400,2
2186,44100,2,176400,2
2188,44100,2,176400,2
219,44100,2,176400,2
2190,44100,2,38304,2
2191,48000,2,192000,2
2192,48000,2,192000,2
2193,44100,2,65268,2
2194,44100,2,176400,2
2195,44100,2,176400,2
2196,48000,2,192000,2
2197,44100,2,176400,2
2198,44100,2,176400,2
2199,44100,2,176400,2
22,44100,2,176400,2
2200,44100,2,176400,2
2201,48000,2,24935,2
2204,48000,2,90555,2
2205,48000,2,51688,2
2206,11025,1,44100,1
2209,48000,2,192000,2
221,48000,2,192000,2
2210,44100,2,36603,1
2212,44100,2,176400,2
2216,44100,2,176400,2
2217,48000,2,192000,1
2218,48000,2,192000,2
2219,48000,2,192000,2
222,44100,2,176400,2
2220,48000,2,192000,2
2224,44100,2,176400,2
2225,48000,2,160320,2
2226,44100,2,176400,2
2227,48000,2,34373,2
2228,48000,2,192000,2
2229,44100,2,85995,2
223,48000,2,192000,2
2230,44100,2,176400,2
2233,44100,2,24533,2
2235,48000,2,192000,2
2236,96000,2,384000,2
2237,44100,2,176400,1
2238,48000,2,192000,2
224,48000,2,192000,2
2240,44100,2,176400,2
2241,48000,2,192000,2
2244,48000,2,192000,2
2246,44100,2,103620,2
2247,48000,2,192000,1
2249,44100,2,176400,2
2250,44100,2,176400,2
2251,44100,2,176400,2
2252,44100,2,166257,2
2253,48000,2,192000,2
2254,48000,2,192000,2
2256,48000,2,192000,2
2258,44100,2,176400,2
2259,44100,2,176400,2
226,44100,2,176400,2
2260,44100,2,176400,2
2262,44100,2,176400,2
2264,44100,2,176400,2
2265,48000,2,94560,2
2269,48000,2,192000,2
227,44100,2,176400,2
2273,44100,2,176400,2
2275,44100,2,176400,2
2277,44100,2,176400,2
2278,48000,2,192000,2
2279,48000,2,192000,2
228,44100,2,176400,2
2282,44100,2,176400,2
2287,48000,2,192000,2
229,48000,2,192000,2
2290,44100,2,176400,1
2291,44100,2,73206,2
2293,48000,2,192000,2
2295,48000,2,74880,2
2297,48000,2,192000,2
2299,48000,2,192000,2
230,48000,2,192000,1
2300,44100,2,176400,2
2301,48000,2,192000,2
2302,48000,2,13235,2
2303,22050,2,88200,1
2304,22050,2,28886,2
2306,44100,2,176400,2
2307,44100,2,176400,2
2308,44100,2,176400,2
2309,44100,2,176400,2
2310,48000,2,192000,1
2312,48000,2,192000,2
2313,48000,2,192000,2
2314,48000,2,192000,2
2318,48000,2,192000,2
2319,48000,2,192000,2
232,44100,2,176400,2
2323,48000,2,192000,1
2324,48000,2,192000,1
2327,44100,2,105399,2
2329,44100,2,176400,2
233,44100,2,176400,2
2330,44100,2,176400,2
2332,44100,2,176400,2
2333,48000,2,192000,2
2335,48000,2,192000,2
2338,44100,2,176400,2
2339,48000,2,192000,2
2340,48000,2,192000,2
2343,44100,2,176400,2
2344,44100,2,176400,2
2345,48000,2,192000,2
2347,44100,2,176400,2
2349,48000,2,192000,1
235,48000,2,192000,2
2351,11025,1,44100,1
2353,44100,2,176400,2
2354,44100,2,176400,2
2358,48000,2,192000,2
236,48000,2,27840,1
2360,44100,2,176400,2
2363,44100,2,176400,2
2364,44100,2,176400,2
2366,48000,2,192000,2
2368,44100,2,176400,2
2369,44100,2,176400,2
2371,48000,2,192000,2
2372,44100,2,176400,2
2373,48000,2,192000,2
2378,44100,2,176400,2
2379,48000,2,192000,2
2380,44100,2,13230,2
2382,44100,2,176400,2
2384,44100,2,176400,2
2386,44100,2,176400,2
2388,48000,2,192000,2
2389,11025,1,44100,1
239,44100,2,176400,2
2390,44100,2,23373,2
2394,44100,2,176400,2
2395,48000,2,192000,2
2398,11025,2,12566,1
24,44100,2,176400,2
2401,48000,2,192000,1
2402,44100,2,176400,2
2403,44100,2,176400,2
2404,48000,2,86880,2
2405,44100,2,176400,2
2408,44100,2,176400,2
2410,48000,2,192000,2
2411,44100,2,176400,2
2412,48000,2,192000,2
2413,48000,2,192000,2
2414,48000,2,47520,1
2415,48000,2,192000,2
2416,48000,2,192000,2
2418,48000,2,192000,2
2419,44100,2,35559,2
242,48000,2,192000,1
2420,44100,2,176400,2
2421,48000,2,192000,2
2424,16000,1,64000,2
2425,44100,2,176400,2
2427,48000,2,192000,2
2428,48000,2,192000,1
2430,16000,1,64000,2
2432,44100,2,176400,2
2433,48000,2,192000,2
2438,48000,2,192000,2
2439,44100,2,176400,2
2441,48000,2,192000,2
2443,44100,2,176400,2
2444,48000,2,192000,2
2445,44100,2,52479,2
2446,44100,2,176400,2
2447,44100,2,176400,2
2448,44100,2,176400,2
2449,48000,2,192000,2
245,44100,2,176400,2
2450,44100,2,58212,2
2452,48000,2,55630,2
2453,22050,2,88200,1
2454,48000,2,192000,2
2455,48000,2,192000,2
2456,48000,2,192000,2
2458,44100,2,3045,2
246,48000,2,192000,2
2460,48000,2,192000,1
2461,44100,2,176400,2
2462,44100,2,176400,2
2463,44100,2,176400,2
2464,44100,2,176400,2
2465,48000,2,192000,2
2466,48000,2,192000,2
2468,48000,2,192000,2
247,48000,2,192000,2
2470,48000,2,192000,2
2473,44100,2,176400,2
2474,44100,2,176400,2
2477,44100,2,122114,2
2478,44100,2,176400,2
2479,44100,2,24696,2
248,48000,2,192000,2
2480,48000,2,192000,1
2484,48000,2,192000,2
2485,48000,2,192000,2
2487,48000,2,192000,2
2488,44100,2,176400,2
2489,44100,2,176400,2
249,44100,2,176400,2
2493,44100,2,176400,2
2494,48000,2,192000,1
2497,48000,2,74173,2
2498,48000,2,116640,2
2499,48000,2,192000,2
250,44100,2,176400,2
2501,48000,2,192000,2
2503,48000,2,192000,2
2505,22050,1,88200,1
2506,48000,2,192000,2
2507,48000,2,192000,2
2509,48000,2,192000,2
251,48000,2,192000,2
2510,48000,2,192000,2
2511,48000,2,192000,2
2512,44100,2,176400,2
2513,48000,2,192000,2
2515,48000,2,93973,2
2516,48000,2,192000,2
2517,48000,2,192000,2
252,44100,2,176400,2
2523,48000,2,192000,2
2524,44100,2,58212,2
2526,48000,2,192000,2
2529,44100,2,176400,2
253,44100,2,176400,2
2531,48000,2,192000,2
2532,48000,2,192000,2
2534,32000,2,128000,1
2536,44100,2,176400,2
2538,44100,2,35277,1
2539,44100,2,176400,2
2541,44100,2,176400,2
2542,44100,2,176400,2
2543,44100,2,176400,1
2544,44100,2,176400,2
2545,48000,2,69120,2
2547,48000,2,192000,2
2548,48000,2,192000,1
2549,44100,2,176400,2
255,44100,2,176400,2
2550,48000,2,192000,2
2552,44100,2,176400,2
2553,48000,2,192000,2
2555,44100,2,176400,2
2557,44100,2,176400,2
2558,44100,2,176400,2
2560,48000,2,192000,2
2564,44100,2,176400,2
2567,44100,2,176400,2
2568,44100,2,176400,2
2569,48000,2,192000,2
2570,48000,2,192000,2
2571,44100,2,176400,2
2572,48000,2,192000,2
2573,44100,2,176400,2
2574,48000,2,192000,2
2575,48000,2,192000,2
2576,48000,2,192000,2
2577,48000,2,192000,2
2578,44100,2,176400,2
258,48000,2,192000,2
2580,44100,2,176400,2
2581,48000,2,46358,2
2582,24000,2,96000,2
2584,44100,2,176400,2
2585,44100,2,176400,2
2586,48000,2,192000,2
2587,48000,2,192000,2
2588,48000,2,192000,2
2592,48000,2,192000,2
2593,48000,2,192000,2
2594,48000,2,192000,2
2595,44100,2,176400,2
2596,48000,2,87840,2
2597,44100,2,176400,2
2598,44100,2,98160,2
26,44100,2,176400,2
260,44100,2,176400,2
2600,48000,2,192000,2
2601,44100,2,176400,2
